  Schema   | Name |        Left arg type        |       Right arg type        |         Result type         |         Function          |                           Description
 pg_catalog | &>   | anyrange                    | anyrange                    | boolean                     | range_overright           | overlaps or is right of
 pg_catalog | &>   | box                         | box                         | boolean                     | box_overright             | overlaps or is right of
 pg_catalog | &>   | circle                      | circle                      | boolean                     | circle_overright          | overlaps or is right of
 pg_catalog | &>   | polygon                     | polygon                     | boolean                     | poly_overright            | overlaps or is right of
 pg_catalog | *    | anyrange                    | anyrange                    | anyrange                    | range_intersect           | range intersection
 pg_catalog | *    | bigint                      | bigint                      | bigint                      | int8mul                   | multiply
 pg_catalog | *    | bigint                      | integer                     | bigint                      | int84mul                  | multiply
 pg_catalog | *    | bigint                      | money                       | money                       | int8_mul_cash             | multiply
 pg_catalog | *    | bigint                      | smallint                    | bigint                      | int82mul                  | multiply
 pg_catalog | *    | box                         | point                       | box                         | box_mul                   | multiply box by point (scale)
 pg_catalog | *    | circle                      | point                       | circle                      | circle_mul_pt             | multiply
 pg_catalog | *    | double precision            | double precision            | double precision            | float8mul                 | multiply
 pg_catalog | *    | double precision            | interval                    | interval                    | mul_d_interval            | multiply
 pg_catalog | *    | double precision            | money                       | money                       | flt8_mul_cash             | multiply
 pg_catalog | *    | double precision            | real                        | double precision            | float84mul                | multiply
 pg_catalog | *    | integer                     | bigint                      | bigint                      | int48mul                  | multiply
 pg_catalog | *    | integer                     | integer                     | integer                     | int4mul                   | multiply
 pg_catalog | *    | integer                     | money                       | money                       | int4_mul_cash             | multiply
 pg_catalog | *    | integer                     | smallint                    | integer                     | int42mul                  | multiply
 pg_catalog | *    | interval                    | double precision            | interval                    | interval_mul              | multiply
 pg_catalog | *    | money                       | bigint                      | money                       | cash_mul_int8             | multiply
 pg_catalog | *    | money                       | double precision            | money                       | cash_mul_flt8             | multiply
 pg_catalog | *    | money                       | integer                     | money                       | cash_mul_int4             | multiply
 pg_catalog | *    | money                       | real                        | money                       | cash_mul_flt4             | multiply
 pg_catalog | *    | money                       | smallint                    | money                       | cash_mul_int2             | multiply
 pg_catalog | *    | numeric                     | numeric                     | numeric                     | numeric_mul               | multiply
 pg_catalog | *    | path                        | point                       | path                        | path_mul_pt               | multiply (rotate/scale path)
 pg_catalog | *    | point                       | point                       | point                       | point_mul                 | multiply points (scale/rotate)
 pg_catalog | *    | real                        | double precision            | double precision            | float48mul                | multiply
 pg_catalog | *    | real                        | money                       | money                       | flt4_mul_cash             | multiply
 pg_catalog | *    | real                        | real                        | real                        | float4mul                 | multiply
 pg_catalog | *    | smallint                    | bigint                      | bigint                      | int28mul                  | multiply
 pg_catalog | *    | smallint                    | integer                     | integer                     | int24mul                  | multiply
 pg_catalog | *    | smallint                    | money                       | money                       | int2_mul_cash             | multiply
 pg_catalog | *    | smallint                    | smallint                    | smallint                    | int2mul                   | multiply
 pg_catalog | *<   | record                      | record                      | boolean                     | record_image_lt           | less than
 pg_catalog | *<=  | record                      | record                      | boolean                     | record_image_le           | less than or equal
 pg_catalog | *<>  | record                      | record                      | boolean                     | record_image_ne           | not identical
 pg_catalog | *=   | record                      | record                      | boolean                     | record_image_eq           | identical
 pg_catalog | *>   | record                      | record                      | boolean                     | record_image_gt           | greater than
 pg_catalog | *>=  | record                      | record                      | boolean                     | record_image_ge           | greater than or equal
 pg_catalog | +    | abstime                     | reltime                     | abstime                     | timepl                    | add
 pg_catalog | +    | aclitem[]                   | aclitem                     | aclitem[]                   | aclinsert                 | add/update ACL item
 pg_catalog | +    | anyrange                    | anyrange                    | anyrange                    | range_union               | range union
 pg_catalog | +    | bigint                      | bigint                      | bigint                      | int8pl                    | add
 pg_catalog | +    | bigint                      | inet                        | inet                        | int8pl_inet               | add
 pg_catalog | +    | bigint                      | integer                     | bigint                      | int84pl                   | add
 pg_catalog | +    | bigint                      | smallint                    | bigint                      | int82pl                   | add
 pg_catalog | +    | box                         | point                       | box                         | box_add                   | add point to box (translate)
 pg_catalog | +    | circle                      | point                       | circle                      | circle_add_pt             | add
 pg_catalog | +    | date                        | integer                     | date                        | date_pli                  | add
 pg_catalog | +    | date                        | interval                    | timestamp without time zone | date_pl_interval          | add
 pg_catalog | +    | date                        | time without time zone      | timestamp without time zone | datetime_pl               | convert date and time to timestamp
 pg_catalog | +    | date                        | time with time zone         | timestamp with time zone    | datetimetz_pl             | convert date and time with time zone to timestamp with time zone
 pg_catalog | +    | double precision            | double precision            | double precision            | float8pl                  | add
 pg_catalog | +    | double precision            | real                        | double precision            | float84pl                 | add
 pg_catalog | +    | inet                        | bigint                      | inet                        | inetpl                    | add
 pg_catalog | +    | integer                     | bigint                      | bigint                      | int48pl                   | add
 pg_catalog | +    | integer                     | date                        | date                        | integer_pl_date           | add
 pg_catalog | +    | integer                     | integer                     | integer                     | int4pl                    | add
 pg_catalog | +    | integer                     | smallint                    | integer                     | int42pl                   | add
 pg_catalog | +    | interval                    | date                        | timestamp without time zone | interval_pl_date          | add
 pg_catalog | +    | interval                    | interval                    | interval                    | interval_pl               | add
 pg_catalog | +    | interval                    | timestamp without time zone | timestamp without time zone | interval_pl_timestamp     | add
 pg_catalog | +    | interval                    | timestamp with time zone    | timestamp with time zone    | interval_pl_timestamptz   | add
 pg_catalog | +    | interval                    | time without time zone      | time without time zone      | interval_pl_time          | add
 pg_catalog | +    | interval                    | time with time zone         | time with time zone         | interval_pl_timetz        | add
 pg_catalog | +    | money                       | money                       | money                       | cash_pl                   | add
 pg_catalog | +    | numeric                     | numeric                     | numeric                     | numeric_add               | add
 pg_catalog | +    | path                        | path                        | path                        | path_add                  | concatenate
 pg_catalog | +    | path                        | point                       | path                        | path_add_pt               | add (translate path)
 pg_catalog | +    | point                       | point                       | point                       | point_add                 | add points (translate)
 pg_catalog | +    | real                        | double precision            | double precision            | float48pl                 | add
 pg_catalog | +    | real                        | real                        | real                        | float4pl                  | add
 pg_catalog | +    | smallint                    | bigint                      | bigint                      | int28pl                   | add
 pg_catalog | +    | smallint                    | integer                     | integer                     | int24pl                   | add
 pg_catalog | +    | smallint                    | smallint                    | smallint                    | int2pl                    | add
 pg_catalog | +    | timestamp without time zone | interval                    | timestamp without time zone | timestamp_pl_interval     | add
 pg_catalog | +    | timestamp with time zone    | interval                    | timestamp with time zone    | timestamptz_pl_interval   | add
 pg_catalog | +    | time without time zone      | date                        | timestamp without time zone | timedate_pl               | convert time and date to timestamp
 pg_catalog | +    | time without time zone      | interval                    | time without time zone      | time_pl_interval          | add
 pg_catalog | +    | time with time zone         | date                        | timestamp with time zone    | timetzdate_pl             | convert time with time zone and date to timestamp with time zone
 pg_catalog | +    | time with time zone         | interval                    | time with time zone         | timetz_pl_interval        | add
 pg_catalog | +    |                             | bigint                      | bigint                      | int8up                    | unary plus
 pg_catalog | +    |                             | double precision            | double precision            | float8up                  | unary plus
 pg_catalog | +    |                             | integer                     | integer                     | int4up                    | unary plus
 pg_catalog | +    |                             | numeric                     | numeric                     | numeric_uplus             | unary plus
 pg_catalog | +    |                             | real                        | real                        | float4up                  | unary plus
 pg_catalog | +    |                             | smallint                    | smallint                    | int2up                    | unary plus
 pg_catalog | -    | abstime                     | reltime                     | abstime                     | timemi                    | subtract
